06:31:37 | INFO     | root                 | Directory cleaned and recreated at: downloaded_files/gw0.
06:32:08 | INFO     | TestChallengingDom   | Verify cell content per column. browser=firefox test_name=test_cells_content_per_column_0_Lorem
06:32:08 | INFO     | MainPage             | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s. browser=firefox page=MainPage test_name=test_cells_content_per_column_0_Lorem
06:32:08 | INFO     | MainPage             | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'. browser=firefox page=MainPage test_name=test_cells_content_per_column_0_Lorem
06:32:08 | INFO     | MainPage             | Navigating to Challenging DOM page. browser=firefox page=MainPage test_name=test_cells_content_per_column_0_Lorem
06:32:11 | INFO     | ChallengingDomPage   | Waiting for page to load with indicator '{'selector': 'div.example h3', 'by': 'css selector'}' for 10s. browser=firefox page=ChallengingDomPage test_name=test_cells_content_per_column_0_Lorem
06:32:11 | INFO     | ChallengingDomPage   | Page loaded successfully with indicator '{'selector': 'div.example h3', 'by': 'css selector'}'. browser=firefox page=ChallengingDomPage test_name=test_cells_content_per_column_0_Lorem
06:32:11 | INFO     | TestChallengingDom   | Getting table cell 'Iuvaret' text under column 'Lorem'. browser=firefox test_name=test_cells_content_per_column_0_Lorem
06:32:11 | INFO     | TestChallengingDom   | Getting table cell 'Iuvaret' text under column 'Lorem'. browser=firefox test_name=test_cells_content_per_column_0_Lorem
06:32:11 | INFO     | TestChallengingDom   | Getting table cell 'Iuvaret' text under column 'Lorem'. browser=firefox test_name=test_cells_content_per_column_0_Lorem
